step,timestamp,action,price,shares,reward,transaction_cost,slippage,time_penalty
24472,2023-07-03 14:18:32.814663625,1,192.92,1.0,-0.27063618204301576,0.25398218204301576,0.0,0.016654
24477,2023-07-03 14:18:34.116604724,1,192.94,1.0,-0.09729971803554471,0.08031621803554471,0.0,0.0169835
24481,2023-07-03 14:18:34.166964124,1,192.95,1.0,-0.27096568204301574,0.25398218204301576,0.0,0.0169835
24483,2023-07-03 14:18:34.560378663,1,192.94,1.0,-0.28062258204300666,0.25398218204301576,0.009999999999990905,0.0166404
24485,2023-07-03 14:18:36.169442710,1,192.93,1.0,-0.27042508204301574,0.25398218204301576,0.0,0.0164429
24486,2023-07-03 14:18:37.017531867,1,192.94,1.0,-0.34694713665592053,0.3301768366559205,0.0,0.0167703
24487,2023-07-03 14:18:37.017531867,2,192.94,1.0,-0.12722296649854564,0.11070826649854565,0.0,0.0165147
24492,2023-07-03 14:18:38.501021443,2,192.945,1.0,-0.2759097820430112,0.25398218204301576,0.0049999999999954525,0.0169276
24494,2023-07-03 14:18:38.501021443,2,192.95,1.0,-0.1439186910215079,0.12699109102150788,0.0,0.0169276
24497,2023-07-03 14:18:38.501021443,1,192.95,1.0,-0.26835713251244164,0.25142953251244166,0.0,0.0169276
24499,2023-07-03 14:18:41.188111713,2,192.95,1.0,-0.09702471803554472,0.08031621803554471,0.0,0.0167085
24501,2023-07-03 14:18:41.188111713,1,192.95,1.0,-0.2761781820430112,0.25398218204301576,0.0049999999999954525,0.017196
24505,2023-07-03 14:18:43.631479620,1,192.96,1.0,-0.2581446541066342,0.24094865410663419,0.0,0.017196
24508,2023-07-03 14:18:43.631479620,1,192.96,1.0,-0.27117818204301575,0.25398218204301576,0.0,0.017196
24509,2023-07-03 14:18:43.631479620,1,192.96,1.0,-0.09381196911272635,0.06719736911273545,0.009999999999990905,0.0166146
24511,2023-07-03 14:18:43.632786812,2,192.96,1.0,-0.05185221820429248,0.025398218204301576,0.009999999999990905,0.016454
24513,2023-07-03 14:18:43.959262736,1,192.96,1.0,-0.20600002322316352,0.17959252322317262,0.009999999999990905,0.0164075
24514,2023-07-03 14:18:43.959322312,2,192.96,1.0,-0.20458652743010194,0.17778752743011103,0.009999999999990905,0.016799
24515,2023-07-03 14:18:43.959322312,1,192.96,1.0,-0.1512243499528023,0.12442534995281139,0.009999999999990905,0.016799
24517,2023-07-03 14:18:46.003543019,1,192.95,1.0,-0.20934355751852474,0.18137955751853382,0.009999999999990905,0.017964
24527,2023-07-03 14:18:48.141383152,1,192.93,1.0,-0.0892022749763966,0.062212674976405695,0.009999999999990905,0.0169896
24528,2023-07-03 14:18:48.150205091,2,192.92,1.0,-0.16447769083774708,0.13677359083772775,0.010000000000019327,0.0177041
24532,2023-07-03 14:18:48.340310209,1,192.92,1.0,-0.2806018820430351,0.25398218204301576,0.010000000000019327,0.0166197
24533,2023-07-03 14:18:48.941007365,2,192.92,1.0,-0.05194191820429248,0.025398218204301576,0.009999999999990905,0.0165437
24537,2023-07-03 14:18:50.457667609,1,192.91,1.0,-0.2755145820430112,0.25398218204301576,0.0049999999999954525,0.0165324
24540,2023-07-03 14:18:53.024149284,2,192.9,1.0,-0.2754964820430112,0.25398218204301576,0.0049999999999954525,0.0165143
24543,2023-07-03 14:18:54.972409452,1,192.9,1.0,-0.37591004644634524,0.35918504644634525,0.0,0.016725
24549,2023-07-03 14:18:55.329867328,2,192.9,1.0,-0.14371609102150787,0.12699109102150788,0.0,0.016725
24551,2023-07-03 14:18:56.985731776,2,192.905,1.0,-0.2754607820430112,0.25398218204301576,0.0049999999999954525,0.0164786
24552,2023-07-03 14:18:56.990624433,2,192.9,1.0,-0.28051158204300664,0.25398218204301576,0.009999999999990905,0.0165294
24553,2023-07-03 14:18:56.990624433,2,192.9,1.0,-0.2758774820430112,0.25398218204301576,0.0049999999999954525,0.0168953
